Date,Meta,Amazon
2021-04-01,298.66,158.05
2021-04-05,308.91,161.34
2021-04-06,306.26,161.19
2021-04-07,313.09,163.97
2021-04-08,313.02,164.97
2021-04-09,312.46,168.61
2021-04-12,311.54,168.97
2021-04-13,309.76,170
2021-04-14,302.82,166.65
2021-04-15,307.82,168.95
2021-04-16,306.18,169.97
2021-04-19,302.24,168.6
2021-04-20,302.65,166.73
2021-04-21,301.47,168.1
2021-04-22,296.52,165.45
2021-04-23,301.13,167.04
2021-04-26,303.04,170.45
2021-04-27,303.57,170.87
2021-04-28,307.1,172.93
2021-04-29,329.51,173.57
2021-04-30,325.08,173.37
2021-05-03,322.58,169.32
2021-05-04,318.36,165.59
2021-05-05,315.02,163.53
2021-05-06,320.02,165.32
2021-05-07,319.08,164.58
2021-05-10,305.97,159.52
2021-05-11,306.53,161.2
2021-05-12,302.55,157.6
2021-05-13,305.26,158.07
2021-05-14,315.94,161.15
2021-05-17,315.46,163.52
2021-05-18,309.96,161.61
2021-05-19,313.59,161.59
2021-05-20,318.61,162.38
2021-05-21,316.23,160.15
2021-05-24,324.63,162.25
2021-05-25,327.79,162.95
2021-05-26,327.66,163.26
2021-05-27,332.75,161.51
2021-05-28,328.73,161.15
2021-06-01,329.13,160.93
2021-06-02,329.15,161.7
2021-06-03,326.04,159.35
2021-06-04,330.35,160.31
2021-06-07,336.58,159.9
2021-06-08,333.68,163.21
2021-06-09,330.25,164.06
2021-06-10,332.46,167.48
2021-06-11,331.26,167.34
2021-06-14,336.77,169.19
2021-06-15,336.75,169.16
2021-06-16,331.08,170.76
2021-06-17,336.51,174.46
2021-06-18,329.66,174.34
2021-06-21,332.29,172.7
2021-06-22,339.03,175.27
2021-06-23,340.59,175.19
2021-06-24,343.18,172.45
2021-06-25,341.37,170.07
2021-06-28,355.64,172.19
2021-06-29,351.89,172.41
2021-06-30,347.71,172.01
2021-07-01,354.39,171.65
2021-07-02,354.7,175.55
2021-07-06,352.78,183.79
2021-07-07,350.49,184.83
2021-07-08,345.65,186.57
2021-07-09,350.42,185.97
2021-07-12,353.16,185.93
2021-07-13,352.09,183.87
2021-07-14,347.63,184.08
2021-07-15,344.46,181.56
2021-07-16,341.16,178.68
2021-07-19,336.95,177.48
2021-07-20,341.66,178.66
2021-07-21,346.23,179.26
2021-07-22,351.19,181.9
2021-07-23,369.79,182.83
2021-07-26,372.46,184.99
2021-07-27,367.81,181.32
2021-07-28,373.28,181.52
2021-07-29,358.32,180
2021-07-30,356.3,166.38
2021-08-02,351.95,166.57
2021-08-03,351.24,168.31
2021-08-04,358.92,167.74
2021-08-05,362.97,168.8
2021-08-06,363.51,167.25
2021-08-09,361.61,167.09
2021-08-10,361.13,166.03
2021-08-11,359.96,164.61
2021-08-12,362.65,165.18
2021-08-13,363.18,164.7
2021-08-16,366.56,164.95
2021-08-17,358.45,162.1
2021-08-18,355.45,160.06
2021-08-19,355.12,159.39
2021-08-20,359.37,160
2021-08-23,363.35,163.29
2021-08-24,365.51,165.29
2021-08-25,368.39,164.96
2021-08-26,364.38,165.8
2021-08-27,372.63,167.48
2021-08-30,380.66,171.08
2021-08-31,379.38,173.54
2021-09-01,382.05,173.95
2021-09-02,375.28,173.16
2021-09-03,376.26,173.9
2021-09-07,382.18,175.46
2021-09-08,377.57,176.28
2021-09-09,378,174.21
2021-09-10,378.69,173.46
2021-09-13,376.51,172.86
2021-09-14,376.53,172.5
2021-09-15,373.92,173.79
2021-09-16,373.06,174.41
2021-09-17,364.72,173.13
2021-09-20,355.7,167.79
2021-09-21,357.48,167.18
2021-09-22,343.21,169
2021-09-23,345.96,170.8
2021-09-24,352.96,171.28
2021-09-27,353.58,170.29
2021-09-28,340.65,165.8
2021-09-29,339.61,165.06
2021-09-30,339.39,164.25
2021-10-01,343.01,164.16
2021-10-04,326.23,159.49
2021-10-05,332.96,161.05
2021-10-06,333.64,163.1
2021-10-07,329.22,165.12
2021-10-08,330.05,164.43
2021-10-11,325.45,162.31
2021-10-12,323.77,162.37
2021-10-13,324.54,164.21
2021-10-14,328.53,164.99
2021-10-15,324.76,170.45
2021-10-18,335.34,172.34
2021-10-19,339.99,172.21
2021-10-20,340.78,170.75
2021-10-21,341.88,171.75
2021-10-22,324.61,166.78
2021-10-25,328.69,166.02
2021-10-26,315.81,168.8
2021-10-27,312.22,169.62
2021-10-28,316.92,172.33
2021-10-29,323.57,168.62
2021-11-01,329.98,165.91
2021-11-02,328.08,165.64
2021-11-03,331.62,169.2
2021-11-04,335.85,173.85
2021-11-05,341.13,175.95
2021-11-08,338.62,174.45
2021-11-09,335.37,178.81
2021-11-10,327.64,174.1
2021-11-11,327.74,173.62
2021-11-12,340.89,176.26
2021-11-15,347.56,177.28
2021-11-16,342.96,177.03
2021-11-17,340.77,177.45
2021-11-18,338.69,184.8
2021-11-19,345.3,183.83
2021-11-22,341.01,178.63
2021-11-23,337.25,179
2021-11-24,341.06,179.02
2021-11-26,333.12,175.23
2021-11-29,338.03,178.08
2021-11-30,324.46,175.35
2021-12-01,310.6,172.19
2021-12-02,310.39,171.87
2021-12-03,306.84,169.49
2021-12-06,317.87,171.37
2021-12-07,322.81,176.16
2021-12-08,330.56,176.16
2021-12-09,329.82,174.17
2021-12-10,329.75,172.21
2021-12-13,334.49,169.57
2021-12-14,333.74,169.09
2021-12-15,341.66,173.31
2021-12-16,334.9,168.87
2021-12-17,333.79,170.02
2021-12-20,325.45,167.08
2021-12-21,334.2,170.42
2021-12-22,330.45,171.04
2021-12-23,335.24,171.07
2021-12-27,346.18,169.67
2021-12-28,346.22,170.66
2021-12-29,342.94,169.2
2021-12-30,344.36,168.64
2021-12-31,336.35,166.72
2022-01-03,338.54,170.4
2022-01-04,336.53,167.52
2022-01-05,324.17,164.36
2022-01-06,332.46,163.25
2022-01-07,331.79,162.55
2022-01-10,328.07,161.49
2022-01-11,334.37,165.36
2022-01-12,333.26,165.21
2022-01-13,326.48,161.21
2022-01-14,331.9,162.14
2022-01-18,318.15,158.92
2022-01-19,319.59,156.3
2022-01-20,316.56,151.67
2022-01-21,303.17,142.64
2022-01-24,308.71,144.54
2022-01-25,300.15,139.99
2022-01-26,294.63,138.87
2022-01-27,294.64,139.64
2022-01-28,301.71,143.98
2022-01-31,313.26,149.57
2022-02-01,319,151.19
2022-02-02,323,150.61
2022-02-03,237.76,138.85
2022-02-04,237.09,157.64
2022-02-07,224.91,157.94
2022-02-08,220.18,161.41
2022-02-09,232,161.19
2022-02-10,228.07,159
2022-02-11,219.55,153.29
2022-02-14,217.7,155.17
2022-02-15,221,156.51
2022-02-16,216.54,158.1
2022-02-17,207.71,154.65
2022-02-18,206.16,152.6
2022-02-22,202.08,150.2
2022-02-23,198.45,144.83
2022-02-24,207.6,151.36
2022-02-25,210.48,153.79
2022-02-28,211.03,153.56
2022-03-01,203.49,151.14
2022-03-02,208.11,152.05
2022-03-03,202.97,147.9
2022-03-04,200.06,145.64
2022-03-07,187.47,137.45
2022-03-08,190.29,136.01
2022-03-09,198.5,139.28
2022-03-10,195.21,146.82
2022-03-11,187.61,145.52
2022-03-14,186.63,141.85
2022-03-15,192.03,147.37
2022-03-16,203.63,153.1
2022-03-17,207.84,157.24
2022-03-18,216.49,161.25
2022-03-21,211.49,161.49
2022-03-22,216.65,164.89
2022-03-23,213.46,163.41
2022-03-24,219.57,163.65
2022-03-25,221.82,164.77
2022-03-28,223.59,168.99
2022-03-29,229.86,169.31
2022-03-30,227.85,166.3
2022-03-31,222.36,163
